patternID,pointSeqNo,stopID,stopNumber,latitude,longitude,isPublic
15786,1,68000,1141,43.140777587890625,-80.2647476196289,True
15786,2,0,0,43.141158,-80.264769,True
15786,3,0,0,43.141217999999995,-80.263828,True
15786,4,0,0,43.142151,-80.263951,True
15786,1,68014,1155,43.14565658569336,-80.26432800292969,True
15786,2,0,0,43.14648738374708,-80.26448786258698,True
15786,3,0,0,43.14661262907375,-80.2644181251526,True
15786,4,0,0,43.147109693933864,-80.2640748023987,True
15786,5,68016,1157,43.147918701171875,-80.26347351074219,True
15786,6,0,0,43.148624,-80.262955,True
15786,7,0,0,43.1492,-80.264328,True
15786,8,0,0,43.149372,-80.264931,True
15786,9,0,0,43.149544,-80.265358,True
15786,10,68017,1158,43.14989471435547,-80.26678466796875,True
15786,11,0,0,43.15033073281659,-80.26940166950227,True
15786,12,68020,1161,43.150672912597656,-80.27059936523438,True
15786,13,0,0,43.150638,-80.270623,True
15786,14,0,0,43.15061,-80.270551,True
15786,15,0,0,43.15165940983043,-80.2732238173485,True
15786,16,0,0,43.15317394614244,-80.27217775583269,True
15786,17,0,0,43.153355,-80.272676,True
15786,18,0,0,43.15472,-80.271719,True
15786,19,0,0,43.154793,-80.271667,True
15786,20,0,0,43.154859,-80.271621,True
15786,21,0,0,43.155065,-80.271477,True
15786,22,68106,1248,43.15506362915039,-80.27147674560547,True
15786,23,0,0,43.15568,-80.27107,True
15786,24,0,0,43.156501,-80.270479,True
15786,25,68107,1249,43.1568717956543,-80.27005767822266,True
15786,26,68108,1250,43.16029357910156,-80.26774597167969,True
15786,27,68109,1251,43.163291931152344,-80.2656021118164,True
15786,28,0,0,43.1635868668995,-80.26540786027908,True
15786,29,68110,1252,43.165130615234375,-80.2643051147461,True
15786,30,0,0,43.16670726549752,-80.26318162679674,True
15786,31,68111,1253,43.167110443115234,-80.26284790039062,True
15786,32,0,0,43.16974729992451,-80.26090979576112,True
15786,33,68112,1254,43.17020797729492,-80.26060485839844,True
15786,34,0,0,43.1702500452205,-80.25996029376984,True
15786,35,0,0,43.170289169194504,-80.25957942008972,True
15786,36,0,0,43.170367417067304,-80.2591395378113,True
15786,37,68113,1255,43.170494079589844,-80.25859832763672,True
15786,38,0,0,43.17081538420937,-80.25756239891055,True
15786,39,0,0,43.17105403785188,-80.25650560855865,True
15786,40,0,0,43.17150004379864,-80.25344252586365,True
15786,41,0,0,43.17198908166338,-80.25067985057832,True
15786,42,0,0,43.171953871067934,-80.25052964687347,True
15786,43,68115,1257,43.17198181152344,-80.25032806396484,True
15786,44,0,0,43.17234,-80.248177,True
15786,45,68026,1167,43.172523498535156,-80.24677276611328,True
15786,46,68233,1398,43.173492431640625,-80.24102783203125,True
15786,47,0,0,43.17371,-80.239929,True
15786,48,0,0,43.173973,-80.238213,True
15786,49,68006,1147,43.173423767089844,-80.23809051513672,True
15786,50,0,0,43.172986706765094,-80.23802518844606,True
15786,51,0,0,43.17285369102645,-80.23887276649475,True
15786,52,0,0,43.17078017293727,-80.23841142654419,True
15786,53,68008,1149,43.170780181884766,-80.23859405517578,True
15786,54,0,0,43.17072344362287,-80.23890763521196,True
15786,55,0,0,43.17063345908501,-80.23888617753983,True
15786,56,0,0,43.17055521155304,-80.23893982172014,True
15786,57,0,0,43.17035567989278,-80.23911148309708,True
15786,58,0,0,43.17020700882017,-80.23915439844131,True
15786,59,0,0,43.16944604200561,-80.23888349533081,True
15786,60,0,0,43.169637751762295,-80.23807346820831,True
15786,61,0,0,43.16951842229058,-80.23799031972885,True
15786,62,0,0,43.16983532955537,-80.23674577474597,True
15786,63,68007,1148,43.170387268066406,-80.23699951171875,True
15786,64,0,0,43.170864,-80.237106,True
15786,65,68005,1146,43.17302703857422,-80.23783874511719,True
15786,66,0,0,43.1739647547702,-80.2381432056427,True
15786,67,68003,1144,43.174720764160156,-80.23365783691406,True
15786,68,68027,1168,43.175209045410156,-80.23058319091797,True
15786,69,0,0,43.175865,-80.226959,True
15786,70,0,0,43.175953,-80.22644,True
15786,71,0,0,43.176811,-80.226784,True
15786,72,68377,1547,43.17752456665039,-80.22665405273438,True
15786,73,0,0,43.178699,-80.227219,True
15786,74,0,0,43.179218,-80.227386,True
15786,75,0,0,43.179478,-80.22747,True
15786,76,0,0,43.179733,-80.227562,True
15786,77,0,0,43.180336,-80.227814,True
15786,78,0,0,43.181625,-80.228249,True
15786,79,0,0,43.182056,-80.228592,True
15786,80,0,0,43.182316,-80.229187,True
15786,81,0,0,43.1824,-80.229706,True
15786,82,0,0,43.182377,-80.229553,True
15786,83,68029,1170,43.18245315551758,-80.22968292236328,True
15786,84,0,0,43.182504404404696,-80.23025214672089,True
15786,85,0,0,43.18241,-80.2314,True
15786,86,0,0,43.18239096750512,-80.23292899131775,True
15786,87,68030,1171,43.182254791259766,-80.23686981201172,True
15786,88,0,0,43.182242325731494,-80.23745119571686,True
15786,89,0,0,43.18227753039479,-80.2377462387085,True
15786,90,0,0,43.18243008370119,-80.23831486701965,True
15786,91,0,0,43.182625664305625,-80.23878693580627,True
15786,92,0,0,43.18302073521544,-80.23928582668304,True
15786,93,68132,1274,43.18324661254883,-80.23944854736328,True
15786,94,0,0,43.184057295250675,-80.24004220962526,True
15786,95,0,0,43.18434674660752,-80.24012804031375,True
15786,96,0,0,43.18462446215983,-80.2401387691498,True
15786,97,0,0,43.18498822850722,-80.24005830287933,True
15786,98,0,0,43.18528549832141,-80.24005293846132,True
15786,99,0,0,43.18559841235142,-80.24011731147768,True
15786,100,0,0,43.185950438717896,-80.24033725261688,True
15786,101,0,0,43.18621250147256,-80.23988127708435,True
15786,102,0,0,43.186337665376314,-80.23945212364198,True
15786,103,68133,1275,43.18636703491211,-80.23900604248047,True
15786,104,0,0,43.18636895631215,-80.23826122283936,True
15786,105,0,0,43.18640806995939,-80.23800909519197,True
15786,106,0,0,43.186677953442285,-80.2372258901596,True
15786,107,0,0,43.18704561887576,-80.23702204227449,True
15786,108,68134,1276,43.1875114440918,-80.23695373535156,True
15786,109,0,0,43.18810166684775,-80.23680210113527,True
15786,110,0,0,43.188735286861096,-80.23680210113527,True
15786,111,0,0,43.18950188005963,-80.2369844913483,True
15786,112,0,0,43.19008072976838,-80.23725271224976,True
15786,113,68136,1278,43.19095993041992,-80.23804473876953,True
15786,114,0,0,43.19117583582154,-80.23835241794588,True
15786,115,0,0,43.19132250031882,-80.23876816034317,True
15786,116,0,0,43.19131663374568,-80.23989200592041,True
15786,117,68137,1279,43.19118881225586,-80.24121856689453,True
15786,118,0,0,43.19113672522943,-80.24138331413269,True
15786,119,0,0,43.189799127893075,-80.24120092391968,True
15786,120,68138,1280,43.188262939453125,-80.2413558959961,True
15786,121,0,0,43.187722273938455,-80.24138867855072,True
15786,122,0,0,43.18719033764113,-80.2414208650589,True
15786,123,0,0,43.18683440708891,-80.2412921190262,True
15786,124,0,0,43.18656843565106,-80.24110436439516,True
15786,125,0,0,43.185919147567525,-80.24042308330536,True
15786,126,0,0,43.18555538676742,-80.24019777774812,True
15786,127,0,0,43.1852542068302,-80.24012804031375,True
15786,128,0,0,43.18501560868222,-80.24012804031375,True
15786,129,0,0,43.18453840958857,-80.24022459983826,True
15786,130,0,0,43.184315454635104,-80.24020850658418,True
15786,131,68001,1142,43.18402862548828,-80.24011993408203,True
15786,132,0,0,43.18335908599196,-80.23965328931808,True
15786,133,0,0,43.18321631392767,-80.24002611637114,True
15786,134,0,0,43.18311265728822,-80.2405920624733,True
15786,135,0,0,43.18285840440846,-80.24217993021011,True
15786,136,68002,1143,43.18284606933594,-80.2424545288086,True
15786,137,0,0,43.182883829744085,-80.24297118186952,True
15786,138,0,0,43.18304811627288,-80.24338960647584,True
15786,139,0,0,43.183783488649965,-80.24476289749147,True
15786,140,0,0,43.18398688795635,-80.24533152580263,True
15786,141,0,0,43.18401035706348,-80.24571776390077,True
15786,142,0,0,43.18393994971502,-80.24628639221194,True
15786,143,68031,1172,43.18339920043945,-80.24870300292969,True
15786,144,0,0,43.18315372880793,-80.24977862834932,True
15786,145,0,0,43.18290338768736,-80.25128602981567,True
15786,146,0,0,43.182876006565024,-80.25183856487276,True
15786,147,68032,1173,43.182891845703125,-80.25225067138672,True
15786,148,0,0,43.18293076879742,-80.25305628776552,True
15786,149,0,0,43.1829464151405,-80.25373220443727,True
15786,150,0,0,43.1828955645108,-80.2543330192566,True
